taxon,specimen,ITS
Oxalis_villosula,UnknownN,Z66547
Oxalis_violacea,GardnerAGVIO1,JN618570
Oxalis_virgata,Emshwiller292,U74267
Oxalis_virginea,MO580virginea,EU436955
Oxalis_virgosa,Ehrhart6-134,NA
Oxalis_viscosa,Dreyer642,EU436949
Oxalis_vulcanicola,MO702cfhedysaroides ,EU436872
Oxalis_weberbaueri,Emshwiller746,NA
Oxalis_wulingensis,Deng544,JX445132
Oxalis_xantha,Dreyer671,EU436980
Oxalis_yungasensis,Emshwiller437/350,U74286
Oxalis_zamorana,Balslev6515,OQ623657
Oxalis_zeekoevleyensis,Oberlander0012,EU436900
Oxalis_zeyheri,MO590cfzeyheri,EU436962
