taxon,specimen,ITS,ncpGS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,Nmarker,Kmarker,duplicate
Oxalis_humbertii,Emshwiller604,NA,AF470247,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_hyalotricha_subsp_borealis,Melo4854,OQ623648,NA,NA,OR099850,NA,OR099875,NA,NA,3,TRUE,TRUE
Oxalis_hyalotricha_subsp_hyalotricha,Cabral170,OQ623647,NA,NA,OR099849,NA,NA,NA,NA,2,TRUE,TRUE
Oxalis_hygrophila,KumwendaDreyer0001,EU437024,NA,NA,NA,NA,AJ582333,EU437310,NA,3,TRUE,FALSE
Oxalis_hypsophila,Dreyer805,EU436874,NA,NA,NA,JN587328,EU437040,EU437163,NA,3,TRUE,TRUE
Oxalis_idimae,Richetti70,OQ623652,NA,NA,OR099854,NA,OR099878,NA,NA,3,TRUE,FALSE
Oxalis_imbricata,Oberlander0062,EU436896,NA,NA,NA,NA,EU437056,EU437184,NA,3,TRUE,FALSE
Oxalis_impatiens,Bilk382a,OQ310878,NA,NA,OQ295999,NA,OQ296025,NA,NA,3,TRUE,FALSE
Oxalis_incana,HeiblPfanzelt05-045,JN634736,NA,JN607483,NA,JN587329,JN620132,JN627227,JN620095,6,TRUE,FALSE
Oxalis_incarnata,Emshwiller149,JN618509,NA,NA,JN836791,NA,JN639542,NA,JN836863,4,TRUE,TRUE
Oxalis_inconspicua,Dreyer707,EU436944,NA,NA,NA,NA,EU437086,EU437230,NA,3,TRUE,FALSE
Oxalis_inopinata,Fiaschi5544,OR964281,NA,NA,OR966574,NA,OR966575,NA,NA,3,TRUE,TRUE
Oxalis_itamarajuensis,Fiaschi4657,OQ310895,NA,NA,OQ296015,NA,OQ296043,NA,NA,3,TRUE,FALSE
