taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,ncpGS,Nmarker,Kmarker,duplicate
Oxalis_deserticola,Oberlander0114,EU436939,NA,NA,NA,EU437083,EU437226,NA,NA,3,TRUE,FALSE
Oxalis_desmodioides,Cabral194,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_diamantinae,Richetti61,OQ623649,NA,OR099851,NA,OR099876,NA,NA,NA,3,TRUE,FALSE
Oxalis_dichotoma,Oberlander0052,EU436893,NA,NA,NA,EU437053,EU437181,NA,NA,3,TRUE,FALSE
Oxalis_dilatata,BayerOberlander0014,EU436910,NA,NA,NA,EU437065,EU437198,NA,NA,3,TRUE,FALSE
Oxalis_dillenii,Walter6565,EU436868,NA,NA,NA,EU437034,EU437157,KC602090,NA,3,TRUE,TRUE
Oxalis_dines,Helme1355,EU436943,NA,NA,NA,EU437085,NA,NA,NA,2,TRUE,FALSE
Oxalis_discolor,Gardner35,JN618525,NA,JN836821,NA,JN639560,NA,JN836890,NA,4,TRUE,FALSE
Oxalis_disticha,Oberlander0159,EU436942,NA,NA,NA,EU437084,EU437229,NA,NA,3,TRUE,FALSE
Oxalis_divaricata,Felix13386,KC602028,NA,KC602055,NA,KC602082,NA,KC602111,NA,4,TRUE,TRUE
Oxalis_divergens,Gardner58,JN618527,NA,JN836822,NA,JN639561,NA,JN836891,NA,4,TRUE,FALSE
Oxalis_dolichopoda,Emshwiller292,U74267,NA,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE
Oxalis_dombey,Cornejo10089,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_dregei,Mucina210903/11,EU436930,NA,NA,NA,AJ582313,EU437217,NA,NA,3,TRUE,TRUE
Oxalis_droseroides,Oberlander0079,EU436994,NA,NA,NA,EU437111,EU437280,NA,NA,3,TRUE,FALSE
Oxalis_drummondii,Weller965,JN618528,NA,JN836823,NA,JN639562,NA,JN836892,NA,4,TRUE,FALSE
Oxalis_dumetorum,Mihoc7330,JN634731,JN602088,NA,NA,NA,JN627222,NA,NA,3,TRUE,TRUE
Oxalis_duriuscula,Oberlander0082,EU437020,NA,NA,NA,EU437123,EU437306,NA,NA,3,TRUE,FALSE
Oxalis_ebracteata,Dreyer644,EU436990,NA,NA,NA,AJ582314,EU437276,NA,NA,3,TRUE,TRUE
Oxalis_eckloniana,Dreyer628,EU437025,NA,NA,NA,AJ582315,EU437311,NA,NA,3,TRUE,TRUE
Oxalis_engleriana,Oberlander0010,EU436961,NA,NA,NA,AJ582316,EU437247,NA,NA,3,TRUE,TRUE
Oxalis_enneaphylla,HeiblMunozToro04-045,JN634732,JN602089,NA,NA,JN620127,JN627223,JN620092,NA,5,TRUE,FALSE
Oxalis_eriocarpa,Vaio31,KC602020,NA,KC602046,NA,KC602073,NA,KC602100,NA,4,TRUE,TRUE
Oxalis_eriolepis,Emshwiller155,JN618530,NA,JN836824,NA,JN639563,NA,JN836893,NA,4,TRUE,FALSE
Oxalis_erosa,Cabral138,OQ310876,NA,OQ295997,NA,OQ296023,NA,NA,NA,3,TRUE,TRUE
Oxalis_erythrorhiza,Teillier4547,NA,JN602090,NA,NA,NA,NA,NA,NA,1,FALSE,FALSE
Oxalis_exserta,Dreyer686,EU436967,NA,NA,NA,AJ582317,EU437253,NA,NA,3,TRUE,TRUE
Oxalis_falcatula,Oberlander0096,EU436992,NA,NA,NA,EU437109,EU437278,NA,NA,3,TRUE,FALSE
Oxalis_famatinae,Zuloaga11970,1,NA,NA,NA,1,NA,NA,NA,2,TRUE,FALSE
Oxalis_fergusoniae,Oberlander0111,EU436912,NA,NA,NA,EU437066,EU437200,NA,NA,3,TRUE,FALSE
Oxalis_fibrosa,Oberlander0051,EU436958,NA,NA,NA,EU437095,EU437244,NA,NA,3,TRUE,FALSE
Oxalis_flagellata,Emshwiller246,NA,NA,NA,NA,NA,NA,NA,AF098982,1,FALSE,FALSE
Oxalis_flava,Dreyer614,EU436924,NA,NA,NA,AJ582318,EU437211,EU437372,NA,3,TRUE,TRUE
Oxalis_flaviuscula,Dreyer701,EU436929,NA,NA,NA,AJ582319,EU437216,NA,NA,3,TRUE,TRUE
Oxalis_floribunda_subsp_floribunda,Vaio358,JN836767,NA,JN836790,NA,JN836758,NA,JN836861,NA,4,TRUE,FALSE
Oxalis_floribunda_subsp_ostenii,Vaio388,KX249623,NA,KX249665,NA,KX249647,NA,KX249648,NA,4,TRUE,FALSE
Oxalis_fontana,Whang30761,EU274622,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE
Oxalis_griffithii_subsp_formosana,Aoki181,LC206020,NA,LC206128,NA,LC206342,NA,LC206235,NA,4,TRUE,FALSE
Oxalis_fourcadei,BeanVlok2046,EU436923,NA,NA,NA,EU437074,NA,NA,NA,2,TRUE,FALSE
Oxalis_frutescens,Vaio426,KC602026,NA,KC602051,NA,KC602080,NA,KC602106,NA,4,TRUE,TRUE
Oxalis_fruticosa,Fiaschi4658,OQ310877,NA,OQ295998,NA,OQ296024,NA,NA,NA,3,TRUE,TRUE
Oxalis_furcillata,Oberlander0022,EU436952,NA,NA,NA,AJ582320,EU437238,NA,NA,3,TRUE,FALSE
Oxalis_galeottii,Gardner60,JN618531,NA,JN836827,NA,JN639566,NA,JN836895,NA,4,TRUE,FALSE
Oxalis_gardneriana,Scatigna1336,1,NA,1,NA,1,NA,NA,NA,3,TRUE,TRUE
Oxalis_geralensis,UnknownN,KX249625,NA,NA,NA,KX249650,NA,KX249649,NA,3,TRUE,TRUE
Oxalis_giftbergensis,Dreyer796,EU436988,NA,NA,NA,AJ582321,EU437274,NA,NA,3,TRUE,FALSE
Oxalis_gigantea,HeiblMunozToro04-010,JN634733,NA,NA,NA,NA,JN627224,JN620093,NA,3,TRUE,FALSE
Oxalis_glabra,Mucina170601/2,EU437000,NA,NA,NA,AJ582322,EU437286,NA,NA,3,TRUE,FALSE
Oxalis_glaucescens,Felix13539,KC602029,NA,KC602053,NA,KC602083,NA,KC602108,NA,4,TRUE,TRUE
Oxalis_goniorrhiza,Oberlander0157,EU437002,NA,NA,NA,EU437114,EU437288,NA,NA,3,TRUE,FALSE
Oxalis_gracilifolia,Cabral193,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_gracilipes,Dreyer645,EU436991,NA,NA,NA,EU437108,EU437277,NA,NA,3,TRUE,FALSE
